code,problem_id,group_id,user_id
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,mio0103
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,oreo0320
"入力された文字列の文字列をAとする
整数、Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,kinako_shinonome
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,obrm2k
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,blue2020
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Aliceandkumasan
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,kyk_hm_99
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,iori125
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,moeknm
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,snoopea
"入力された文字列をAとする
整数、Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,yuko0828
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,artms007
"入力された文字列の文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,mmk20
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,yui_k
"入力された文字列を英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,ysk18_
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,shioshiooshio
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,HARU55
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,bn1224
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Will25
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,tamamii20
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,tatejima
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,ym09rr6
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,kfwh87
"入力された文字列を英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,honot
"入力された文字列を英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,meika
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Nakada065
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Pooh0514
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,udonman
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,salmon04
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,yuzukosyo
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,phantom_0422
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Nanairo0716
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,hoshitaro32
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,lisa_06
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,miyu777
"入力された文字列をAとする
整数、Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,prprpr
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,mai0526
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,giraffe09
"入力された文字列の文字列を整数とする
整数を英大文字に変換した文字列を整数とする
整数を出力する
",0020,groupA,koyuki
"入力された文字列をAとする
整数、Bの英大小文字を交換した文字列をAとする
Aを出力する
",0020,groupA,maple13
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,Kunitomo
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,tom99
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,guoguo
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,kurumi048
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,nabenabe0927
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,honoka46
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,mai0321
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Lemon_1127
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,wonka3065
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Hui0946
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,maih120615
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,kurumin212
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,okrn_cindy
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,yukka_rinrin
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,ayk_rb_1103
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,momokai
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,kazari
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Haru157
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,aoaoaoi
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,kori21
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,blackpinky
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,arashi99
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,water0914
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,m1916075_
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,akpinee
"入力された文字列をAとする
整数、Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,umnkit0922
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,ayame_1001
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",0020,groupA,KA1NA0913
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,blues11
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,stk95
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,kkk2m
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Kureha
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,rt56
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,ltwx4649
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,horichan
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Shion20
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,s_68
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,yuyu268
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,kana0409
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,shoko_a_
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,dice37
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,ucacao33
"入力された文字列をAとする
整数、Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,Shiori_Y
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,asdfghqwerty
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,_gm49
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,su1424zu
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,harapeco
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,gon35
"入力された文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,slow1224
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,hamuhamu12
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,ss10225_
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,miyh2523
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,ai0322
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,natsuki0804
"空文字列を間に入れて、つまり入力された文字列の各要素に整数を英大文字に変換した文字列を適用した列を連結した文字列を出力する
",0020,groupA,miiyu
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,matsuki20
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,tokkankoji
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,apoten0418
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,mh21716087
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,bono2325
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,s__wk101
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,tkzw79
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,crescent_moon
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,apple05
"入力された文字列の文字列をAとする
整数、Aの英大小文字を交換した文字列を出力する
",0020,groupA,maimada0519
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,konkon666
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,pen8pan9pon
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,m1816040kc
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Yknnn14
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,me72
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,nanako1116
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Vellu0129
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,sugarchan0
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,sabuk421
"入力された文字列を整数とする
整数の英大小文字を交換した文字列を出力する
",0020,groupA,Yuki13
"入力された文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,okashi77
"空文字列を間に入れて、つまり入力された文字列の各要素に整数を英大文字に変換した文字列を適用した列を連結した文字列を出力する
",0020,groupA,Shino107
"入力された文字列の英大小文字を交換した文字列を出力する
",0020,groupA,aoi_0326
"stringモジュールを用いる
BをAとする
BをAとする
AがBに含まれるとき、
AのBのCと等しい要素の最初の位置番目を返す
AがBに含まれるとき、
AのBのCと等しい要素の最初の位置番目を返す
Aを返す
1、Aを開いたファイルストリームに空文字列を間に入れて0を開いたファイルストリームから読み込んだ一行の各要素にBを適用した列を連結した文字列を書き込む
",ITP1_8_A,groupA,jakenu0x5e
"sysモジュールを用いる
sysモジュールを用いる
Aから読み込んだ一行を入力された文字列とする
入力された文字列の両端から空白改行を取り除いた文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
識別子がAと等しいとき、
main(sys.argv[1:])
",ITP1_8_A,groupA,kichi941
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,cima
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,novel
"入力された文字列をAとする
空文字列をAとする
Bを順にAとして、繰り返す
Aの全てが英大文字のとき、
AをBを英小文字に変換した文字列だけ増加させる
AをBを英大文字に変換した文字列だけ増加させる
AをBだけ増加させる
Aを出力する
",ITP1_8_A,groupA,tricom
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,tige
"入力された文字列を整数とする
整数の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,KubotaNoriko1230
"入力された文字列を順にAとして、繰り返す
Aの全てが英大文字のとき、
改行せずにAを英小文字に変換した文字列を出力する
改行せずにAを英大文字に変換した文字列を出力する
改行せずにAを出力する
空行を出力する
",ITP1_8_A,groupA,pypy
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,bs5lNkJ
"空文字列を間に入れて、つまり入力された文字列の各要素をAとし、(A.upper()、A.lower())からなる列のAの全てが英大文字かどうか番目の列を連結した文字列を出力する
",ITP1_8_A,groupA,kyuna
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,ikatakos
"入力された文字列をAとする
空文字列をAとする
0からBの長さ未満までの数列を順にAとして、繰り返す
AのB番目の全てが英小文字のとき、
AをBのC番目を英大文字に変換した文字列だけ増加させる
AをBのC番目を英小文字に変換した文字列だけ増加させる
AをBのC番目だけ増加させる
Aを出力する
",ITP1_8_A,groupA,manaka
"osのenvironに対応する値、もし存在しなければBをAとする
AがBと等しいとき、
A、Bを開いたファイルストリームをsysのstdinにする
空文字列をAとする
入力された文字列の両端から空白改行を取り除いた文字列を順にAとして、繰り返す
Bの順序数をAとする
65がA以下かどうかが90以下のとき、
Aを文字コードBに32を加えた値の文字だけ増加させる
Aを文字コードBから32を引いた値の文字だけ増加させる
AをBだけ増加させる
Aを出力する
",ITP1_8_A,groupA,RandyWaterhouse
"識別子がAと等しいとき、
入力された文字列をAとする
空文字列を間に入れて(Aの全てが英小文字のときAを英大文字に変換した文字列、そうでなければBの各要素をAとし、A.lower()の列)からなる列を連結した文字列を出力する
",ITP1_8_A,groupA,yoheikikuta
"整数、入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,tsuru_aji
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,bonoron
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Mackie
"A
Aの英大小文字を交換した文字列を返す
toggle(input())を出力する
run()
",ITP1_8_A,groupA,y1721
"sysモジュールを用いる
osモジュールを用いる
入力された文字列の両端から空白改行を取り除いた文字列をAとする
Bを順にAとして、繰り返す
Aの全てが英小文字のとき、
改行せずにAを英大文字に変換した文字列を出力する
改行せずにAを英小文字に変換した文字列を出力する
改行せずにAを出力する
空行を出力する
",ITP1_8_A,groupA,peroon
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,leeav_ten
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,momiji6
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,meiadayz
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,yreb
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,misuta
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,baron2
"入力された文字列をAとする
空文字列をAとする
Bを順にAとして、繰り返す
Aの全てが英大文字のとき、
AをBを英小文字に変換した文字列だけ増加させる
AをBを英大文字に変換した文字列だけ増加させる
AをBだけ増加させる
Aを出力する
",ITP1_8_A,groupA,mxg7y
"入力された文字列をAとする
Bを順にAとして、繰り返す
Aの全てが英大文字のとき、
改行せずにAを英小文字に変換した文字列を出力する
改行せずにAを英大文字に変換した文字列を出力する
空行を出力する
",ITP1_8_A,groupA,rockbirds12
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,zywuwen
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,tefu417
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,halfpennyworths
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,shana
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,nananashi
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,rune
"入力された文字列をAとする
空文字列をAとする
Bを順にAとして、繰り返す
Aの全てが英大文字のとき、
Aを出力する
",ITP1_8_A,groupA,PythonHolic
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,soutatahara
"入力された文字列を整数とする
整数を順にAとして、繰り返す
Aの全てが英大文字のとき、
改行せずにAを英小文字に変換した文字列を出力する
改行せずにAを英大文字に変換した文字列を出力する
改行せずにAを出力する
空行を出力する
",ITP1_8_A,groupA,tappinasa
"sysモジュールを用いる
2000000000をAとする
1000000007をAとする
0.000000001をAとする
入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,naoto172
"空文字列を間に入れてAの全てが英小文字のときAを英大文字に変換した文字列、そうでなければAの全てが英大文字のときAを英小文字に変換した文字列、そうでなければinput()の各要素をAとし、Aの列を連結した文字列を出力する
",ITP1_8_A,groupA,Sim0000
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,toyuzuko
"入力された文字列を整数とする
整数の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,jj1guj
"入力された文字列をBで分割した字句列をAとする
Cの各要素をBとし、Bの英大小文字を交換した文字列の列をAとする
Aを間に入れてBを連結した文字列を出力する
",ITP1_8_A,groupA,nut5ch3st
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Pure70os
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,nagasw0603
"入力された文字列を整数とする
整数の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,yunakura
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,proayu33
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,aaa119
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,mimimi323
"入力された文字列をAとする
整数、Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,myst7
"入力された文字列をAとする
Aの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,roy2020
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,decodeco
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,rei089
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,mokomoko58
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,mayu_build_01
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,sh415
"入力された文字列の文字列をAとする
整数、Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,gem19
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,jngkk97
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,mio0103
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,oreo0320
"入力された文字列の文字列をAとする
整数、Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,kinako_shinonome
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,obrm2k
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,blue2020
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Aliceandkumasan
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,kyk_hm_99
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,iori125
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,moeknm
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,snoopea
"入力された文字列をAとする
整数、Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,yuko0828
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,artms007
"入力された文字列の文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,mmk20
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,yui_k
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,ysk18_
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,shioshiooshio
"入力された文字列をAとする
Bの英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,HARU55
"入力された文字列をAとする
整数、Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,bn1224
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Will25
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,tamamii20
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,tatejima
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,ym09rr6
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,kfwh87
"入力された文字列の英大小文字を交換した文字列をAとする
Aを出力する
",ITP1_8_A,groupA,honot
"入力された文字列をAとする
空文字列をAとする
0からBの長さ未満までの数列を順にAとして、繰り返す
BのC番目の文字列をAとする
AのB番目の全てが英小文字のとき、
BのC番目を英大文字に変換した文字列をAとする
BのC番目を英小文字に変換した文字列をAとする
AをBだけ増加させる
Aを出力する
",ITP1_8_A,groupA,meika
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Nakada065
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Pooh0514
"入力された文字列の文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,udonman
"入力された文字列をAとする
Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,salmon04
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,yuzukosyo
"入力された文字列の文字列をAとする
整数、Aの英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,phantom_0422
"入力された文字列の英大小文字を交換した文字列を出力する
",ITP1_8_A,groupA,Nanairo0716
